"id","include","name","category","district","address","longitude","latitude","mon","tue","wed","thu","fri","sat","sun","opening_hours_raw","ticket_price_yuan","recommended_duration_min","indoor","requires_reservation","walk_level","tags","official_url","source_note","source_provider","source_id","retrieved_at"
"amap_B0HGNGK3FG","true","南宋德寿宫遗址博物馆","museum","上城区","望江路228-264号(江城路地铁站E口步行460米)","120.173273","30.238678","closed","09:30-17:00","09:30-17:00","09:30-17:00","09:30-17:00","09:30-17:00","09:30-17:00","周二至周日 09:30-17:00 最晚进入16:30；周一 全天关闭,节假日营业时间以官方通知为准","0","120","true","true","low","博物馆|历史遗址","","","amap","B0HGNGK3FG","2026-07-25T06:54:26+00:00"
"amap_B023B0BMJ6","true","浙江美术馆","art_gallery","西湖区","南山路138号","120.156894","30.231049","closed","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","周二至周日 09:00-17:00 2026-05-01至2026-05-05 周二至周日 09:00-17:00；2026-05-01至2026-05-05 周一 全天关闭","0","120","true","false","medium","美术馆","","","amap","B023B0BMJ6","2026-07-25T06:54:26+00:00"
"amap_B023B02842","true","灵隐寺","historic_site","西湖区","法云弄1号","120.101406","30.240826","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","07:30-17:30","周一至周日 07:30-17:30 最晚进入17:00；在以上开放时间基础上，每逢国家法定节假日，景区将提前半小时开门，推迟半小时关门","0","90","false","true","medium","历史遗址|寺庙","","","amap","B023B02842","2026-07-25T06:54:26+00:00"
"amap_B0FFKQLV24","true","良渚古城遗址公园-河道与作坊","ancient_town","余杭区","良渚古城遗址公园内(东侧)","119.996667","30.389561","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","09:00-17:00","周一至周日 09:00-17:00 最晚进入16:00","60","180","false","true","medium","古镇","","原票价说明：0(70 周岁以上老人、6 周岁以下儿童),30（学生 / 60–69 周岁老人），60（成人）","amap","B0FFKQLV24","2026-07-25T06:54:26+00:00"
"amap_B0FFFA3PD5","true","五柳巷历史街区","scenic_area","上城区","小营街道斗富二桥西河下9号附近","120.176615","30.242162","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","150","false","false","low","风景名胜","","","amap","B0FFFA3PD5","2026-07-25T06:54:26+00:00"
"amap_B0FFHJTKKP","true","钱江世纪公园","park","萧山区","秋韵路a7-2号","120.237194","30.244685","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","90","false","false","medium","公园","","","amap","B0FFHJTKKP","2026-07-25T06:54:26+00:00"
"amap_B0FFKRLAVQ","true","杭州沿江湿地公园-西区","wetland","钱塘区","杭州沿江景观公园内(西侧)","120.354734","30.262239","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","180","false","false","medium","湿地公园","","","amap","B0FFKRLAVQ","2026-07-25T06:54:26+00:00"
"amap_B023B07SJZ","true","清河坊历史文化特色街区","cultural_district","上城区","河坊街180号","120.169899","30.239827","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","0","120","false","false","low","文化街区","","","amap","B023B07SJZ","2026-07-25T06:54:26+00:00"
"amap_B0FFL9RQ5O","true","湖滨步行街","pedestrian_street","上城区","凤起路539-4号(龙翔桥地铁站C口步行120米)","120.162923","30.254158","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","10:00-22:00","周一至周日 10:00-22:00","0","120","false","false","low","步行街","","","amap","B0FFL9RQ5O","2026-07-25T06:54:26+00:00"
"amap_B0FFK1AXQY","true","杭州动物园-虎山","zoo","西湖区","虎跑路40号杭州动物园内(西侧)","120.130873","30.212474","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","00:00-24:00","周一至周日 00:00-24:00","20","240","false","false","medium","动物园","","原票价说明：10（学生 / 60–69 周岁老人），20（成人）","amap","B0FFK1AXQY","2026-07-25T06:54:26+00:00"
